Artist Name,Album name,Song name,Release date of album,Embedded URL
Eminem,MTBMB,Godzilla,17/01/2020,https://www.youtube.com/embed/r_0JjYUe5jo
Eminem,MTBMB,Marsh,17/01/2020,https://www.youtube.com/embed/0WkIZwM5_vc
Eminem,MTBMB,Darkness,17/01/2020,https://www.youtube.com/embed/RHQC4fAhcbU
Eminem,MTBMB,In Too Deep,17/01/2020,https://www.youtube.com/embed/cmxdavhOg0Q
The Weeknd,After Hours,Blinding Lights,20/03/2020,https://www.youtube.com/embed/4NRXx6U8ABQ
The Weeknd,After Hours,Too late,20/03/2021,https://www.youtube.com/embed/nl71vFvVOvw
The Weeknd,Starboy,Starboy,25/11/2016,https://www.youtube.com/embed/34Na4j8AVgA
Imagine Dragons,Believer,Believer,17/03/2017,https://www.youtube.com/embed/7wtfhZwyrcc
Imagine Dragons,Thunder,Thunder,03/03/2017,https://www.youtube.com/embed/fKopy74weus
Imagine Dragons,The Host,Radioactive,10/12/2012,https://www.youtube.com/embed/ktvTqknDobU
Banners,Someone To You,Someone To You,03/11/2017,https://www.youtube.com/embed/XeLaiL9tk68
Banners,Firefly,Firefly,15/09/2017,https://www.youtube.com/embed/wC5FmEGFUCU
Banners,Serenade,Serenade,11/06/2021,https://www.youtube.com/embed/fZKn97modZM
A.R.Rahman,Rockstar,Kun Faya Kun,05/12/2011,https://www.youtube.com/embed/T94PHkuydcw
A.R.Rahman,Slumdog Millionaire,Jai Ho,21/04/2011,https://www.youtube.com/embed/xwwAVRyNmgQ
A.R.Rahman,Muqabala,Muqabala Muqabala,17/09/1994,https://www.youtube.com/embed/FQzC23GLptE
,,,,
Ed Sheeran,Divide,Perfect,09/11/2017,https://www.youtube.com/embed/2Vv-BfVoq4g
Ed Sheeran,Equals,Tides,29/10/2021,https://www.youtube.com/embed/P_kRTqaD8Mc
Ed Sheeran,Multiply,Photograph,10/05/2015,https://www.youtube.com/embed/nSDgHBxUbVQ
,,,,
Maroon 5,Sugar,Sugar,14/01/2015,https://www.youtube.com/embed/09R8_2nJtjg
Maroon 5,Memories,Memories,08/10/2019,https://www.youtube.com/embed/SlPhMPnQ58k
Maroon 5,Girls Like you,Memories,31/05/2018,https://www.youtube.com/embed/aJOTlE1K90k
